time	I(I1)
0.000000000000000e+00	0.000000e+00
7.812499952519758e-11	6.494844e-11
1.562499990503952e-10	1.807352e-10
3.124999981007903e-10	2.018593e-10
5.869391047630410e-10	-3.420424e-10
8.616203677251344e-10	-5.106564e-10
1.343164274744421e-09	2.014119e-10
2.044816285514526e-09	2.576239e-10
3.126622682692665e-09	-2.083232e-10
4.796105685209118e-09	-6.142167e-11
6.465588687725572e-09	-1.060865e-11
9.804554692758480e-09	-2.000203e-11
1.591180199376492e-08	5.185850e-11
2.510049668289377e-08	1.520676e-10
3.802265223915812e-08	2.941115e-10
5.999959300314368e-08	6.352212e-10
9.969814678417754e-08	1.761907e-09
1.790952543462453e-07	6.442460e-09
2.975637767873501e-07	2.031688e-08
4.464340851876418e-07	5.028637e-08
6.513509605214874e-07	1.147844e-07
9.375132517381486e-07	2.503935e-07
1.440946619403193e-06	6.207738e-07
2.447813354733281e-06	1.880558e-06
3.263285198185240e-06	4.881061e-06
4.027046468447115e-06	2.541407e-05
4.830856105831598e-06	7.609021e-05
5.570801497220220e-06	1.430940e-04
6.534363213295803e-06	2.454048e-04
7.560878298413025e-06	3.610788e-04
8.985139138111275e-06	5.176560e-04
1.139309417734062e-05	7.394046e-04
1.582079008177121e-05	9.407967e-04
2.000000000000000e-05	9.049056e-04
2.022773759644613e-05	8.741452e-04
2.068321278933840e-05	8.004384e-04
2.085012991437065e-05	7.704248e-04
2.098688204992989e-05	7.453239e-04
2.112364049000213e-05	7.202097e-04
2.126263609958006e-05	6.949532e-04
2.131275911156797e-05	6.859347e-04
2.134122994202670e-05	6.808386e-04
2.136640722506875e-05	6.763504e-04
2.140208970068543e-05	6.700210e-04
2.143472210362862e-05	6.642664e-04
2.148334890222538e-05	6.557532e-04
2.152936270259242e-05	6.477681e-04
2.160453943150750e-05	6.348757e-04
2.168427348668575e-05	6.214163e-04
2.180703883064540e-05	6.011391e-04
2.194969795250978e-05	5.782710e-04
2.217899501908327e-05	5.431009e-04
2.251785827131917e-05	4.946631e-04
2.319558477579095e-05	4.095977e-04
2.435586781193676e-05	2.947989e-04
2.573514724880616e-05	1.975978e-04
2.830122779868750e-05	8.835342e-05
3.080886482696895e-05	3.643121e-05
3.293058905576085e-05	1.636091e-05
3.475556151159631e-05	8.307793e-06
3.650846582694127e-05	4.530031e-06
3.844477878197098e-05	2.460874e-06
4.030089515028567e-05	1.494370e-06
4.239825402606709e-05	9.462489e-07
4.458277157014832e-05	6.589161e-07
4.718055989615585e-05	4.775505e-07
5.017545511259794e-05	3.593448e-07
5.402645654699377e-05	2.648948e-07
5.895603381802810e-05	1.863693e-07
6.581612101475747e-05	1.190706e-07
7.362862101475747e-05	7.881437e-08
8.053381308439034e-05	6.321196e-08
8.630144271172520e-05	5.858517e-08
9.670745915139496e-05	5.904442e-08
1.901226289648588e-04	1.060635e-07
1.979351289648588e-04	1.083894e-07
2.057476289648588e-04	1.072439e-07
2.135601289648588e-04	9.801099e-08
2.213726289648588e-04	7.694529e-08
2.291851289648588e-04	4.890846e-08
2.369976289648588e-04	2.462925e-08
2.448101289648588e-04	9.932675e-09
2.526226289648588e-04	3.686544e-09
2.705466351320527e-04	2.499653e-09
2.760637110934019e-04	2.679815e-09
2.815807870547511e-04	2.816113e-09
2.870978630161004e-04	2.908548e-09
2.926149389774496e-04	2.957119e-09
2.981320149387988e-04	2.961827e-09
3.036490909001481e-04	2.922671e-09
3.091661668614973e-04	2.839651e-09
3.169786668614973e-04	1.555444e-08
3.223746666076077e-04	1.827139e-08
3.282234396577672e-04	1.511738e-08
3.349449304760284e-04	9.533409e-09
3.421753139028588e-04	5.222125e-09
3.576274054375192e-04	2.496427e-09
3.710202625803763e-04	2.584152e-09
3.844131197232335e-04	2.592841e-09
3.978059768660907e-04	2.522494e-09
4.111988340089478e-04	2.373111e-09
4.245916911518050e-04	2.144692e-09
4.379845482946622e-04	1.837237e-09
4.513774054375193e-04	1.450746e-09
4.591899054375193e-04	2.732994e-10
4.670024054375193e-04	-2.964961e-09
4.748149054375193e-04	-1.178731e-08
4.826274054375193e-04	-3.469722e-08
4.904399054375193e-04	-8.749301e-08
4.982524054375193e-04	-1.844155e-07
5.060649054375193e-04	-3.187224e-07
5.138774054375193e-04	-4.460681e-07
5.216899054375193e-04	-5.350152e-07
5.295024054375193e-04	-5.908927e-07
5.373149054375193e-04	-5.879045e-07
5.451274054375193e-04	3.217248e-06
5.522169688535707e-04	9.550105e-05
5.591392690894645e-04	4.703325e-04
5.669517690894645e-04	1.591499e-03
5.747642690894645e-04	4.390340e-03
5.825767690894645e-04	1.091156e-02
5.903892690894646e-04	2.462160e-02
5.982017690894646e-04	4.925624e-02
6.060142690894646e-04	8.611502e-02
6.069908315894646e-04	9.152983e-02
6.077232534644645e-04	9.561732e-02
6.078453237769645e-04	9.630309e-02
6.080894644019645e-04	9.762046e-02
6.082242389031105e-04	9.831763e-02
6.083567465444188e-04	9.898613e-02
