time	V(out)
0.000000000000000e+00	-1.077292e-25
7.812499952519758e-11	1.662708e-05
1.562499990503952e-10	2.313464e-05
3.124999981007903e-10	1.291916e-05
5.869391047630410e-10	-1.165512e-05
8.616203677251344e-10	-1.185340e-05
1.343164274744421e-09	2.999074e-06
2.044816285514526e-09	2.519782e-06
3.126622682692665e-09	-1.332577e-06
4.796105685209118e-09	-2.561314e-07
6.465588687725572e-09	-3.281573e-08
9.804554692758480e-09	-4.080150e-08
1.591180199376492e-08	6.518245e-08
2.510049668289377e-08	1.211670e-07
3.802265223915812e-08	1.547033e-07
5.999959300314368e-08	2.117419e-07
9.969814678417754e-08	3.534485e-07
1.790952543462453e-07	7.194456e-07
2.975637767873501e-07	1.365550e-06
4.464340851876418e-07	2.252807e-06
6.513509605214874e-07	3.524513e-06
9.375132517381486e-07	5.341681e-06
1.440946619403193e-06	8.616268e-06
2.447813354733281e-06	1.536545e-05
3.263285198185240e-06	2.991591e-05
4.027046468447115e-06	1.262329e-04
4.830856105831598e-06	3.151168e-04
5.570801497220220e-06	5.139926e-04
6.534363213295803e-06	7.516859e-04
7.560878298413025e-06	9.560378e-04
8.985139138111275e-06	1.153580e-03
1.139309417734062e-05	1.299677e-03
1.582079008177121e-05	1.190735e-03
2.000000000000000e-05	9.057259e-04
2.022773759644613e-05	8.749107e-04
2.068321278933840e-05	8.010801e-04
2.085012991437065e-05	7.710193e-04
2.098688204992989e-05	7.458802e-04
2.112364049000213e-05	7.207291e-04
2.126263609958006e-05	6.954368e-04
2.131275911156797e-05	6.864058e-04
2.134122994202670e-05	6.813028e-04
2.136640722506875e-05	6.768085e-04
2.140208970068543e-05	6.704705e-04
2.143472210362862e-05	6.647081e-04
2.148334890222538e-05	6.561838e-04
2.152936270259242e-05	6.481883e-04
2.160453943150750e-05	6.352793e-04
2.168427348668575e-05	6.218029e-04
2.180703883064540e-05	6.015009e-04
2.194969795250978e-05	5.786057e-04
2.217899501908327e-05	5.433961e-04
2.251785827131917e-05	4.949081e-04
2.319558477579095e-05	4.097656e-04
2.435586781193676e-05	2.948858e-04
2.573514724880616e-05	1.976369e-04
2.830122779868750e-05	8.836122e-05
3.080886482696895e-05	3.643254e-05
3.293058905576085e-05	1.636118e-05
3.475556151159631e-05	8.307862e-06
3.650846582694127e-05	4.530051e-06
3.844477878197098e-05	2.460880e-06
4.030089515028567e-05	1.494373e-06
4.239825402606709e-05	9.462498e-07
4.458277157014832e-05	6.589165e-07
4.718055989615585e-05	4.775507e-07
5.017545511259794e-05	3.593449e-07
5.402645654699377e-05	2.648949e-07
5.895603381802810e-05	1.863693e-07
6.581612101475747e-05	1.190706e-07
7.362862101475747e-05	7.881438e-08
8.053381308439034e-05	6.321196e-08
8.630144271172520e-05	5.858517e-08
9.670745915139496e-05	5.904442e-08
1.901226289648588e-04	1.060635e-07
1.979351289648588e-04	1.083894e-07
2.057476289648588e-04	1.072439e-07
2.135601289648588e-04	9.801100e-08
2.213726289648588e-04	7.694530e-08
2.291851289648588e-04	4.890847e-08
2.369976289648588e-04	2.462925e-08
2.448101289648588e-04	9.932676e-09
2.526226289648588e-04	3.686544e-09
2.705466351320527e-04	2.499653e-09
2.760637110934019e-04	2.679815e-09
2.815807870547511e-04	2.816113e-09
2.870978630161004e-04	2.908548e-09
2.926149389774496e-04	2.957119e-09
2.981320149387988e-04	2.961826e-09
3.036490909001481e-04	2.922670e-09
3.091661668614973e-04	2.839651e-09
3.169786668614973e-04	1.555444e-08
3.223746666076077e-04	1.827139e-08
3.282234396577672e-04	1.511738e-08
3.349449304760284e-04	9.533409e-09
3.421753139028588e-04	5.222125e-09
3.576274054375192e-04	2.496427e-09
3.710202625803763e-04	2.584152e-09
3.844131197232335e-04	2.592841e-09
3.978059768660907e-04	2.522494e-09
4.111988340089478e-04	2.373111e-09
4.245916911518050e-04	2.144692e-09
4.379845482946622e-04	1.837237e-09
4.513774054375193e-04	1.450746e-09
4.591899054375193e-04	2.732994e-10
4.670024054375193e-04	-2.964961e-09
4.748149054375193e-04	-1.178731e-08
4.826274054375193e-04	-3.469722e-08
4.904399054375193e-04	-8.749301e-08
4.982524054375193e-04	-1.844155e-07
5.060649054375193e-04	-3.187224e-07
5.138774054375193e-04	-4.460681e-07
5.216899054375193e-04	-5.350152e-07
5.295024054375193e-04	-5.908927e-07
5.373149054375193e-04	-5.879045e-07
5.451274054375193e-04	3.217259e-06
5.522169688535707e-04	9.551017e-05
5.591392690894645e-04	4.705539e-04
5.669517690894645e-04	1.594040e-03
5.747642690894645e-04	4.409786e-03
5.825767690894645e-04	1.103329e-02
5.903892690894646e-04	2.525965e-02
5.982017690894646e-04	5.195562e-02
6.060142690894646e-04	9.517290e-02
6.069908315894646e-04	1.019169e-01
6.077232534644645e-04	1.070844e-01
6.078453237769645e-04	1.079580e-01
6.080894644019645e-04	1.096418e-01
6.082242389031105e-04	1.105358e-01
6.083567465444188e-04	1.113950e-01
6.084500888760092e-04	1.119880e-01
6.085355206812185e-04	1.125209e-01
6.085926064833416e-04	1.128723e-01
6.086586633238962e-04	1.132739e-01
6.087907770050056e-04	1.140616e-01
6.090192526321946e-04	1.153766e-01
6.096509576630410e-04	1.187244e-01
6.102712992689572e-04	1.216464e-01
6.115119824807897e-04	1.266019e-01
6.139933489044547e-04	1.339470e-01
6.176728656017448e-04	1.409731e-01
6.218343733817570e-04	1.458553e-01
6.257157212233896e-04	1.489676e-01
6.305153738991809e-04	1.520953e-01
6.353600498815150e-04	1.549913e-01
6.431725498815150e-04	1.596317e-01
6.509850498815150e-04	1.643462e-01
6.666100498815150e-04	1.740374e-01
6.900475498815151e-04	1.891652e-01
7.045564784529437e-04	1.987932e-01
7.190654070243723e-04	2.088328e-01
7.335743355958008e-04	2.192839e-01
7.480832641672294e-04	2.301466e-01
7.625921927386580e-04	2.414208e-01
7.771011213100866e-04	2.531065e-01
7.916100498815151e-04	2.652038e-01
8.150475498815152e-04	2.863042e-01
8.306725498815152e-04	3.015010e-01
8.462975498815152e-04	3.178223e-01
8.541100498815152e-04	3.264855e-01
8.619225498815152e-04	3.355394e-01
8.697350498815152e-04	3.450374e-01
8.775475498815152e-04	3.550450e-01
8.853600498815152e-04	3.656446e-01
8.931725498815152e-04	3.769412e-01
9.009850498815152e-04	3.890725e-01
9.087975498815152e-04	4.022231e-01
9.166100498815153e-04	4.166491e-01
9.244225498815153e-04	4.327197e-01
9.322350498815153e-04	4.509950e-01
9.400475498815153e-04	4.723806e-01
9.478600498815153e-04	4.984765e-01
9.556725498815153e-04	5.309345e-01
9.634850498815153e-04	5.703007e-01
9.712975498815153e-04	6.167596e-01
9.791100498815152e-04	6.703727e-01
9.869225498815152e-04	7.311603e-01
9.947350498815152e-04	7.991294e-01
1.002547549881515e-03	8.742822e-01
