time	I(I1)
1.183438409041532e-09	9.210303e-18
3.707950523321813e-09	5.034031e-17
2.449315573099601e-08	5.717374e-16
7.427605285774360e-08	4.268436e-15
3.806478807623675e-07	1.048959e-12
3.555852414489723e-06	1.222771e-06
1.582924075406877e-05	2.588630e-02
1.950065391750996e-05	4.849115e-02
1.961427508141847e-05	4.917415e-02
2.001986401972165e-05	5.151907e-02
2.592567309865950e-05	5.686915e-02
3.750904489432891e-05	1.135560e-02
3.927312136227655e-05	7.145808e-03
4.469729101810527e-05	1.635259e-02
5.756283541486303e-05	5.327370e-02
5.857229729141773e-05	5.190978e-02
5.917281930763058e-05	5.072099e-02
6.961920879880202e-05	9.219727e-03
7.713236811946187e-05	1.259547e-02
7.903930808775500e-05	1.946187e-02
9.526311730089526e-05	2.820086e-02
9.745420566769127e-05	2.033512e-02
9.871393715433337e-05	1.578691e-02
9.961353901489473e-05	1.274117e-02
9.972161695170923e-05	1.239054e-02
1.009538859490046e-04	8.732370e-03
1.169894658225605e-04	2.486996e-02
1.171457336726004e-04	2.517043e-02
1.172327334432864e-04	2.533376e-02
1.188130240463376e-04	2.775887e-02
1.347359752789254e-04	5.529528e-03
1.369276932763541e-04	2.530767e-03
1.541527844350592e-04	2.003237e-02
1.565332590402385e-04	1.968676e-02
1.754249227605252e-04	2.137275e-03
1.757166418646102e-04	2.371582e-03
1.758241879688114e-04	2.462970e-03
1.865839331138606e-04	1.331571e-02
1.881013148372577e-04	1.370938e-02
1.881127415977076e-04	1.371016e-02
1.881166826428776e-04	1.370664e-02
1.881182874256894e-04	1.370923e-02
1.881199415907609e-04	1.371121e-02
1.881217112263921e-04	1.371068e-02
1.881235013273715e-04	1.371089e-02
1.881249074681511e-04	1.371095e-02
1.881255077325996e-04	1.371103e-02
1.881273486971327e-04	1.371113e-02
1.881365246158626e-04	1.371169e-02
1.882449560099667e-04	1.371685e-02
1.882585412680228e-04	1.371721e-02
1.882592868278667e-04	1.371742e-02
1.882602585251786e-04	1.371736e-02
1.882699484324984e-04	1.371765e-02
1.899085045801325e-04	1.363529e-02
1.952101782628822e-04	1.548457e-02
2.105900409466323e-04	1.817177e-02
2.173453859337914e-04	1.189904e-02
2.437388300773392e-04	1.249632e-02
2.795132553961691e-04	7.866412e-03
3.160290610027316e-04	4.796945e-03
3.505659769599643e-04	3.134247e-03
3.531654338872158e-04	2.825008e-03
3.531819831485288e-04	2.822821e-03
3.545525155249727e-04	2.636832e-03
3.546573714891781e-04	2.622333e-03
3.546610555726498e-04	2.621667e-03
3.546624434898465e-04	2.625786e-03
3.546634308922751e-04	2.619268e-03
3.546648286180513e-04	2.621513e-03
3.546665304980990e-04	2.621191e-03
3.546681852736623e-04	2.620835e-03
3.546690953200269e-04	2.620433e-03
3.546706921232549e-04	2.620523e-03
3.546730470556496e-04	2.620144e-03
3.546888396003080e-04	2.617977e-03
3.547918931492459e-04	2.603708e-03
3.548010487099240e-04	2.603316e-03
3.548033443513639e-04	2.602136e-03
3.548296175522952e-04	2.598539e-03
3.579855367906812e-04	3.316173e-03
3.693885579840648e-04	1.927919e-02
3.780823000358520e-04	1.478806e-02
4.007835472399160e-04	1.084917e-02
4.310208341917138e-04	3.760074e-03
4.331037777266990e-04	5.210314e-03
4.342506393905606e-04	6.014879e-03
4.345957555012396e-04	6.246959e-03
4.345986523919407e-04	6.248787e-03
4.345997940817404e-04	6.246847e-03
4.346008541059299e-04	6.247727e-03
4.346018193053745e-04	6.250674e-03
4.346034189344937e-04	6.251695e-03
4.346052326226979e-04	6.253328e-03
4.346062799867990e-04	6.253830e-03
4.346074526852511e-04	6.254668e-03
4.346101210028797e-04	6.256497e-03
4.346721597318700e-04	6.297454e-03
4.347542271643566e-04	6.352010e-03
4.347566155086436e-04	6.352885e-03
4.348063959770907e-04	6.385425e-03
4.387688506876406e-04	1.031419e-02
4.534091440565625e-04	2.107585e-02
4.583651608489234e-04	1.411021e-02
4.718337217467987e-04	6.533035e-03
4.725085178942191e-04	7.212359e-03
4.733271868090446e-04	8.113139e-03
4.733303227960845e-04	8.116665e-03
4.733318586364735e-04	8.121168e-03
4.733325992264043e-04	8.117064e-03
4.733333741514594e-04	8.121777e-03
4.733348958166970e-04	8.121627e-03
4.733371650706599e-04	8.124618e-03
4.733387991732212e-04	8.126479e-03
4.733436225344210e-04	8.131890e-03
4.734529307852825e-04	8.257128e-03
4.735118315443342e-04	8.325087e-03
4.735167933311150e-04	8.330751e-03
4.737857861979015e-04	8.645927e-03
4.806795234405149e-04	2.491247e-02
4.906256797772350e-04	3.806569e-02
4.907598891616779e-04	3.791673e-02
4.914233991964201e-04	3.704203e-02
4.922508870932163e-04	3.564178e-02
4.922553459548989e-04	3.563333e-02
4.922575812908236e-04	3.563207e-02
4.922592647718739e-04	3.562513e-02
4.922613116212700e-04	3.562216e-02
4.922639556050279e-04	3.561686e-02
4.922671901054222e-04	3.561086e-02
4.923419043683916e-04	3.546763e-02
4.924278702613642e-04	3.529993e-02
4.924301901029294e-04	3.529504e-02
4.924392199781154e-04	3.527723e-02
4.932541545782596e-04	3.355091e-02
4.937407890976405e-04	3.245262e-02
4.937455233853494e-04	3.244184e-02
4.937483541608445e-04	3.242901e-02
4.937487277381085e-04	3.249321e-02
4.937489497772034e-04	3.242994e-02
4.937489613683952e-04	3.242717e-02
4.937494514575628e-04	3.242340e-02
4.937499274437785e-04	3.244658e-02
4.937501270059560e-04	3.241980e-02
4.937506350112078e-04	3.243445e-02
4.937508126036588e-04	3.244279e-02
4.937510939052958e-04	3.242458e-02
4.937514734960326e-04	3.242300e-02
4.937518236103579e-04	3.243217e-02
4.937522021092626e-04	3.242242e-02
