time	V(out)
1.107174460340285e-09	-1.090716e-14
3.897763693043797e-09	-9.077779e-15
2.595526648311303e-08	1.628678e-13
7.592048328259047e-08	2.370381e-12
3.944267085767503e-07	1.085444e-09
3.366183340660549e-06	9.470336e-05
1.791410201519861e-05	1.586872e-01
1.854441864300067e-05	1.766279e-01
1.936032097684782e-05	2.008872e-01
1.966834296748997e-05	2.102829e-01
2.182394887792467e-05	2.779330e-01
3.568380562519950e-05	3.443756e-01
3.929690108917573e-05	2.074553e-01
5.118093345170538e-05	2.626673e-03
5.740748992765426e-05	1.723995e-01
5.911880518124859e-05	2.156418e-01
7.101421793573312e-05	1.386745e-01
7.811103702727359e-05	1.517179e-02
7.835096249294919e-05	1.303318e-02
9.156001399659701e-05	1.057238e-01
9.743370366112714e-05	1.499360e-01
9.769300118030640e-05	1.502798e-01
9.879371276235882e-05	1.499337e-01
9.912392090125110e-05	1.492551e-01
9.912408482506906e-05	1.492547e-01
9.941637216092206e-05	1.484324e-01
9.970328263947072e-05	1.474232e-01
1.001165438272299e-04	1.456206e-01
1.153354686641141e-04	-8.800609e-03
1.167808509027702e-04	-8.542373e-03
1.171692504110105e-04	-7.479714e-03
1.178878539888499e-04	-4.433827e-03
1.353017546314751e-04	9.890232e-02
1.367773641897333e-04	8.571300e-02
1.547448390367737e-04	1.752368e-02
1.560969027318025e-04	2.772499e-02
1.626639734486464e-04	6.494551e-02
1.743597053566042e-04	3.360568e-02
1.773947934641820e-04	1.707073e-02
1.880799145631572e-04	5.791177e-03
1.883221118770760e-04	6.529457e-03
1.883312089908925e-04	6.557919e-03
1.883391610243706e-04	6.582840e-03
1.883433730356716e-04	6.596047e-03
1.883469173630696e-04	6.607177e-03
1.883474842060457e-04	6.608957e-03
1.883483873298079e-04	6.611795e-03
1.883507073709291e-04	6.619086e-03
1.884071966076677e-04	6.797637e-03
1.884810657977684e-04	7.033993e-03
1.884873903387199e-04	7.054379e-03
1.890059528854839e-04	8.791551e-03
1.948456337963390e-04	2.470981e-02
2.098997030401815e-04	-3.966483e-02
2.115101888918269e-04	-4.108037e-02
2.321571704423268e-04	1.003655e-02
2.576185544518254e-04	9.242960e-03
2.902617368727864e-04	-2.110529e-03
3.250921336318392e-04	-1.604581e-03
3.526607495038862e-04	-4.604831e-03
3.534841912514508e-04	-4.346214e-03
3.537641859790286e-04	-4.242336e-03
3.549760317388135e-04	-3.701356e-03
3.549788553450997e-04	-3.699939e-03
3.549807131113446e-04	-3.699015e-03
3.549820131197775e-04	-3.698365e-03
3.549853766353494e-04	-3.696676e-03
3.549880076002597e-04	-3.695354e-03
3.550251552517896e-04	-3.676648e-03
3.551143258190716e-04	-3.631428e-03
3.551219777087942e-04	-3.627522e-03
3.551559068037872e-04	-3.610219e-03
3.588249882274875e-04	-3.859864e-03
3.700853488322991e-04	-4.482060e-02
3.780760431890438e-04	-4.861878e-02
3.971565925713236e-04	-6.872705e-03
4.307678900550730e-04	-4.662553e-03
4.334105386326911e-04	-1.036483e-02
4.334250235687085e-04	-1.039566e-02
4.346700769088600e-04	-1.294892e-02
4.349027817143204e-04	-1.340036e-02
4.349064945379087e-04	-1.340749e-02
4.349081376519230e-04	-1.341064e-02
4.349099966016616e-04	-1.341422e-02
4.349133499791233e-04	-1.342065e-02
4.349159035761977e-04	-1.342555e-02
4.349657151726764e-04	-1.352088e-02
4.350449133596695e-04	-1.367161e-02
4.350614290074371e-04	-1.370292e-02
4.350653099264089e-04	-1.371026e-02
4.351724818984063e-04	-1.391246e-02
4.398433692393880e-04	-2.487715e-02
4.558839515209614e-04	-6.429486e-02
4.580874344910889e-04	-5.412320e-02
4.719835088382221e-04	1.567055e-03
4.721450870688574e-04	9.795089e-04
4.723785803711165e-04	6.677423e-05
4.735225446940529e-04	-5.406993e-03
4.736396771311031e-04	-6.052698e-03
4.736428131181428e-04	-6.070180e-03
4.736446189970294e-04	-6.080263e-03
4.736464889309149e-04	-6.090695e-03
4.736499111554558e-04	-6.109797e-03
4.736546533161623e-04	-6.136288e-03
4.737526684701182e-04	-6.689006e-03
4.738162159568608e-04	-7.052634e-03
4.738269133045550e-04	-7.114247e-03
4.738457896090828e-04	-7.223270e-03
4.769813478851400e-04	-3.043166e-02
4.875863953665744e-04	-1.099467e-01
4.910411526679997e-04	-1.100294e-01
4.922609372593978e-04	-1.060261e-01
4.925293090427199e-04	-1.048534e-01
4.925325497460195e-04	-1.048386e-01
4.925367485184859e-04	-1.048195e-01
4.925427368795029e-04	-1.047921e-01
4.925843647268296e-04	-1.046001e-01
4.926896900076253e-04	-1.041038e-01
4.927081082803718e-04	-1.040154e-01
4.927138386558233e-04	-1.039878e-01
4.931543693482396e-04	-1.017422e-01
4.940166772560248e-04	-9.675433e-02
4.940215210021010e-04	-9.672450e-02
4.940251402599384e-04	-9.670221e-02
4.940262255500342e-04	-9.669551e-02
4.940267412430298e-04	-9.669233e-02
4.940290844444737e-04	-9.667788e-02
4.940792008373491e-04	-9.636798e-02
4.941047747686276e-04	-9.620916e-02
4.941143613924470e-04	-9.614951e-02
4.948964546862509e-04	-9.112997e-02
4.954735492861398e-04	-8.732345e-02
4.955093738793728e-04	-8.708695e-02
4.955128939459102e-04	-8.706372e-02
4.955143765299281e-04	-8.705395e-02
4.955150510237412e-04	-8.704949e-02
4.955168374489043e-04	-8.703770e-02
4.955323856719428e-04	-8.693513e-02
4.956015171212559e-04	-8.647937e-02
4.956078465042380e-04	-8.643766e-02
4.957005276228039e-04	-8.582794e-02
4.969049369741186e-04	-7.826065e-02
4.969958029521566e-04	-7.773024e-02
4.969992479334630e-04	-7.771032e-02
4.970006021760286e-04	-7.770249e-02
4.970021690900079e-04	-7.769345e-02
4.970029841114349e-04	-7.768874e-02
4.970031239840819e-04	-7.768793e-02
4.970050731950946e-04	-7.767668e-02
4.970333449812230e-04	-7.751381e-02
4.971135194151052e-04	-7.705629e-02
4.971181516765409e-04	-7.703005e-02
4.971541997775172e-04	-7.682665e-02
5.006172922149785e-04	-6.778171e-02
5.024519967293774e-04	-7.435104e-02
5.039376430718926e-04	-8.655149e-02
5.039413007814213e-04	-8.658920e-02
5.039449988779002e-04	-8.662739e-02
5.039497534865611e-04	-8.667652e-02
5.039543245662833e-04	-8.672380e-02
5.039943653536020e-04	-8.714056e-02
5.041253375581365e-04	-8.853504e-02
5.041292193462590e-04	-8.857709e-02
5.042176050463155e-04	-8.954632e-02
5.054287278578586e-04	-1.051107e-01
5.054328381352171e-04	-1.051709e-01
5.054356574349365e-04	-1.052122e-01
5.054370372108269e-04	-1.052324e-01
5.054378547865712e-04	-1.052444e-01
5.054393615916260e-04	-1.052665e-01
5.054544938862190e-04	-1.054887e-01
5.055144704702938e-04	-1.063761e-01
5.055197330766153e-04	-1.064545e-01
5.057252047348859e-04	-1.095789e-01
5.068883445210629e-04	-1.296019e-01
5.069202095173777e-04	-1.302054e-01
5.069237392176364e-04	-1.302725e-01
5.069256026050484e-04	-1.303079e-01
5.069267165199834e-04	-1.303290e-01
5.069280123363478e-04	-1.303537e-01
5.069337518198138e-04	-1.304628e-01
5.070004822109099e-04	-1.317383e-01
5.070039651831715e-04	-1.318053e-01
5.070827096751283e-04	-1.333272e-01
5.081366797641235e-04	-1.552942e-01
5.084103284247266e-04	-1.614555e-01
5.084138327735892e-04	-1.615356e-01
5.084167760458989e-04	-1.616029e-01
5.084174448943135e-04	-1.616182e-01
5.084190431651916e-04	-1.616548e-01
5.084287084910875e-04	-1.618759e-01
5.085006804852670e-04	-1.635296e-01
5.085049159525490e-04	-1.636273e-01
5.086974695404845e-04	-1.681110e-01
5.098989111700605e-04	-1.977812e-01
5.099017897897144e-04	-1.978555e-01
5.099046248742663e-04	-1.979286e-01
5.099058717095592e-04	-1.979608e-01
5.099068530104531e-04	-1.979861e-01
5.099114973478767e-04	-1.981060e-01
5.099735148462180e-04	-1.997097e-01
5.099984150164746e-04	-2.003553e-01
5.100031242757328e-04	-2.004775e-01
5.105098332213410e-04	-2.138105e-01
5.113885684339694e-04	-2.376387e-01
5.113915646227608e-04	-2.377212e-01
5.113948490278259e-04	-2.378116e-01
5.113972956442616e-04	-2.378789e-01
5.113977787711597e-04	-2.378922e-01
