time	I(I1)
0.000000000000000e+00	-0.000000e+00
7.812499952519758e-11	-6.455081e-10
5.107502573760029e-05	1.781892e-03
1.969304865746652e-04	3.702359e-04
2.609097700232689e-04	5.319070e-01
2.770130505655184e-04	4.721989e-01
2.777360265071639e-04	6.003435e-01
2.878981389702347e-04	5.418484e-01
2.879233589307554e-04	5.660976e-01
2.879234336147481e-04	5.661852e-01
2.896699377517709e-04	6.153015e-01
2.959250221583834e-04	5.956581e-01
3.019210243918864e-04	5.802016e-01
3.021020905638582e-04	6.166716e-01
3.081031475058444e-04	5.861235e-01
3.082892156335517e-04	6.225491e-01
3.105286784105846e-04	6.355565e-01
3.144810212281490e-04	6.215080e-01
3.206304878745153e-04	5.929669e-01
3.206645928333134e-04	6.304761e-01
3.268177392642514e-04	5.934884e-01
3.268538085892196e-04	6.302819e-01
3.330050021483037e-04	5.954148e-01
3.330426300386803e-04	6.291306e-01
3.391931648112356e-04	5.967374e-01
3.393634539151101e-04	8.635644e-01
3.453807417551854e-04	8.843839e-01
3.455573992677477e-04	1.161575e+00
3.517208266484067e-04	1.390416e+00
3.517822831873938e-04	1.485577e+00
3.579354471129166e-04	1.699528e+00
3.590519611815354e-04	1.789499e+00
3.641251596359820e-04	1.931696e+00
3.701255251765076e-04	1.854240e+00
3.703158091758122e-04	2.141226e+00
3.763106761620007e-04	2.039377e+00
3.765046456498142e-04	2.329633e+00
3.825014891669289e-04	2.203971e+00
3.825016273758879e-04	2.204370e+00
3.825017073832350e-04	2.204608e+00
3.826964506572947e-04	2.498700e+00
3.886865483938285e-04	2.353046e+00
3.888885585750696e-04	2.651380e+00
3.948764223713035e-04	2.485187e+00
3.965461536553886e-04	2.844306e+00
4.012742001878685e-04	2.911105e+00
4.074616903024858e-04	3.025870e+00
4.087617401703694e-04	3.086518e+00
4.136605951568036e-04	3.130910e+00
4.198450367790961e-04	3.225556e+00
4.230948705425316e-04	3.158616e+00
4.260407946460106e-04	3.313913e+00
4.322273847646870e-04	3.396756e+00
4.332250504336115e-04	3.471914e+00
4.384215112447088e-04	3.475109e+00
4.443685369169452e-04	3.206189e+00
4.446588036192048e-04	3.603210e+00
4.508032477619513e-04	3.619118e+00
4.567460954765396e-04	3.332832e+00
4.569982533381269e-04	3.684407e+00
4.629387296688359e-04	3.404973e+00
4.636838131028382e-04	3.862049e+00
4.693765552269972e-04	3.812304e+00
4.753031079179989e-04	3.506811e+00
4.755699746956207e-04	3.873600e+00
4.814933946996203e-04	3.561129e+00
4.851960044139682e-04	3.810654e+00
4.879523123058879e-04	3.986337e+00
4.938644298084082e-04	3.664349e+00
4.943288982643042e-04	4.160393e+00
5.003349981092305e-04	4.093377e+00
5.062392783195138e-04	3.762526e+00
5.067695956736632e-04	4.269035e+00
5.127200346403515e-04	4.195259e+00
5.186164200296727e-04	3.855894e+00
5.189128678095359e-04	4.240133e+00
5.251013388290539e-04	4.289064e+00
5.259492627981515e-04	4.375210e+00
5.312912604349064e-04	4.334114e+00
5.371723178235903e-04	3.986928e+00
5.374911828499141e-04	4.381748e+00
5.436724928913961e-04	4.419338e+00
5.455559354364860e-04	4.418102e+00
5.498649421210439e-04	4.461639e+00
5.557360373493616e-04	4.108062e+00
5.560552902289998e-04	4.500145e+00
5.619292412257989e-04	4.154526e+00
5.680991200784912e-04	4.186589e+00
5.684386006496069e-04	4.575263e+00
5.742987609631165e-04	4.220063e+00
5.746336297349008e-04	4.607738e+00
5.808210183759629e-04	4.643148e+00
5.866696515145842e-04	4.290020e+00
5.870595335687760e-04	4.716868e+00
5.932056536548338e-04	4.705630e+00
5.990515457344949e-04	4.361872e+00
6.052327944180773e-04	4.386353e+00
6.055885609181221e-04	4.762941e+00
6.114233862456326e-04	4.416603e+00
6.176063733892147e-04	4.446104e+00
6.179733958895120e-04	4.811807e+00
6.241601929946038e-04	4.836323e+00
6.299832243798771e-04	4.500851e+00
6.361664377882197e-04	4.527652e+00
6.365421274299401e-04	4.878120e+00
6.423563750822329e-04	4.553063e+00
6.468787999639940e-04	4.728835e+00
6.489233353403294e-04	4.913584e+00
6.547274803272169e-04	4.601833e+00
6.551136837300462e-04	4.928586e+00
6.609172462331144e-04	4.622655e+00
6.620056665648043e-04	4.996396e+00
6.674958413977553e-04	4.954843e+00
6.732888189442658e-04	4.665851e+00
6.736868124099417e-04	4.965666e+00
6.794781940878347e-04	4.684620e+00
6.798787514492726e-04	4.973622e+00
6.856789826587383e-04	4.711601e+00
6.861543342704619e-04	4.999138e+00
6.922574420215123e-04	4.989371e+00
6.980273022083903e-04	4.741007e+00
6.984505635162017e-04	4.993896e+00
7.046362962558607e-04	4.997499e+00
7.101060916223095e-04	4.798288e+00
7.108299657307680e-04	4.999265e+00
7.165962043416391e-04	4.787882e+00
7.170206226481359e-04	5.000000e+00
7.232068633358481e-04	5.000000e+00
7.271883642960155e-04	4.947740e+00
7.294011005136384e-04	5.000000e+00
7.355873107866021e-04	5.000000e+00
7.413430226226905e-04	4.838754e+00
7.419579967379356e-04	5.000000e+00
7.479540451843882e-04	5.000000e+00
7.536488930898838e-04	4.867573e+00
7.597398281540267e-04	4.878025e+00
7.601859560418338e-04	5.000000e+00
7.662356056839528e-04	5.000000e+00
7.718162540223912e-04	4.900694e+00
7.722575244405561e-04	5.000000e+00
7.782373842079261e-04	5.000000e+00
7.837422488251629e-04	4.921111e+00
7.841820312007786e-04	5.000000e+00
7.896592471238954e-04	4.932901e+00
7.953758790465311e-04	4.948805e+00
7.959652948934815e-04	5.000000e+00
8.013924634560380e-04	4.950521e+00
8.071704092998628e-04	4.955459e+00
8.076134811988555e-04	5.000000e+00
8.133844511138546e-04	5.000000e+00
8.186836027849941e-04	4.968908e+00
8.243037968793023e-04	4.979043e+00
8.248339153315981e-04	5.000000e+00
8.300689609272710e-04	4.980361e+00
