time	V(out)
0.000000000000000e+00	-8.262952e-06
7.812499952519758e-11	-8.262505e-06
5.107502573760029e-05	8.910255e-05
1.969304865746652e-04	1.851214e-05
2.609097700232689e-04	2.734299e-02
2.770130505655184e-04	2.419536e-02
2.777360265071639e-04	3.097674e-02
2.878981389702347e-04	2.786911e-02
2.879233589307554e-04	2.915489e-02
2.879234336147481e-04	2.915954e-02
2.896699377517709e-04	3.177471e-02
2.959250221583834e-04	3.072705e-02
3.019210243918864e-04	2.990435e-02
3.021020905638582e-04	3.184786e-02
3.081031475058444e-04	3.021939e-02
3.082892156335517e-04	3.216184e-02
3.105286784105846e-04	3.285744e-02
3.144810212281490e-04	3.210621e-02
3.206304878745153e-04	3.058371e-02
3.206645928333134e-04	3.258562e-02
3.268177392642514e-04	3.061148e-02
3.268538085892196e-04	3.257525e-02
3.330050021483037e-04	3.071409e-02
3.330426300386803e-04	3.251367e-02
3.391931648112356e-04	3.078456e-02
3.393634539151101e-04	4.522337e-02
3.453807417551854e-04	4.636931e-02
3.455573992677477e-04	6.191182e-02
3.517208266484067e-04	7.517149e-02
3.517822831873938e-04	8.080896e-02
3.579354471129166e-04	9.376902e-02
3.590519611815354e-04	9.934422e-02
3.641251596359820e-04	1.083175e-01
3.701255251765076e-04	1.034045e-01
3.703158091758122e-04	1.219276e-01
3.763106761620007e-04	1.152518e-01
3.765046456498142e-04	1.345984e-01
3.825014891669289e-04	1.260997e-01
3.825016273758879e-04	1.261264e-01
3.825017073832350e-04	1.261422e-01
3.826964506572947e-04	1.463547e-01
3.886865483938285e-04	1.362037e-01
3.888885585750696e-04	1.573179e-01
3.948764223713035e-04	1.454007e-01
3.965461536553886e-04	1.716942e-01
4.012742001878685e-04	1.768208e-01
4.074616903024858e-04	1.858241e-01
4.087617401703694e-04	1.906877e-01
4.136605951568036e-04	1.942967e-01
4.198450367790961e-04	2.021373e-01
4.230948705425316e-04	1.965709e-01
4.260407946460106e-04	2.096478e-01
4.322273847646870e-04	2.168707e-01
